seqnames	start	end	width	strand	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
51	chr1	53829399	53829871	473	*	peak_21220	ENSG00000058804.12	53765478	53838463	-	inside	9064	8592	Overlapping
52	chr1	62095627	62096137	511	*	peak_24485	ENSG00000132849.20	61742406	62178675	+	inside	353221	82538	Overlapping
53	chr1	63436541	63437198	658	*	peak_25121	ENSG00000088035.18	63367575	63438553	+	inside	68966	1355	Overlapping
54	chr1	64302665	64303294	630	*	peak_25468	NA	NA	NA	NA	NA	NA	NA	NA
55	chr1	64650499	64651126	628	*	peak_25631	ENSG00000158966.15	64470129	64693058	+	inside	180370	41932	Overlapping
56	chr1	74650111	74654853	4743	*	peak_28999	ENSG00000178965.14	74568117	74673792	-	inside	23681	18939	Overlapping
57	chr1	77641085	77641896	812	*	peak_30123	ENSG00000036549.13	77562416	77683419	-	inside	42334	41523	Overlapping
58	chr1	77799894	77800823	930	*	peak_30219	ENSG00000180488.15	77779624	77879539	+	inside	20270	20270	Overlapping
59	chr1	84162769	84166129	3361	*	peak_32420	ENSG00000142875.19	84078062	84238498	+	inside	84707	72369	Overlapping
60	chr1	86974443	86976626	2184	*	peak_33630	ENSG00000153936.17	86914635	87109982	+	inside	59808	59808	Overlapping
61	chr1	87022759	87023270	512	*	peak_33665	ENSG00000153936.17	86914635	87109982	+	inside	108124	86712	Overlapping
62	chr1	87022759	87023270	512	*	peak_33665	ENSG00000267561.2	86993009	87169204	+	inside	29750	29750	Overlapping
63	chr1	87041000	87042926	1927	*	peak_33677	ENSG00000153936.17	86914635	87109982	+	inside	126365	67056	Overlapping
64	chr1	87041000	87042926	1927	*	peak_33677	ENSG00000267561.2	86993009	87169204	+	inside	47991	47991	Overlapping
65	chr1	88971782	88973215	1434	*	peak_34537	ENSG00000137944.18	88935773	88992953	-	inside	21171	19738	Overlapping
66	chr1	92269940	92270277	338	*	peak_35622	ENSG00000174842.17	92246402	92298987	-	inside	29047	23538	Overlapping
67	chr1	96780796	96781598	803	*	peak_37416	ENSG00000117569.18	96721665	96823738	+	inside	59131	42140	Overlapping
68	chr1	97118178	97120993	2816	*	peak_37579	ENSG00000188641.13	97077743	97995000	-	inside	876822	40435	Overlapping
69	chr1	97118178	97120993	2816	*	peak_37579	ENSG00000232878.3	97095923	97322955	+	inside	22255	22255	Overlapping
70	chr1	101449988	101450597	610	*	peak_39379	NA	NA	NA	NA	NA	NA	NA	NA
71	chr1	107255268	107258277	3010	*	peak_40628	ENSG00000162631.18	107140007	107483458	+	inside	115261	115261	Overlapping
72	chr1	109597316	109599160	1845	*	peak_41618	ENSG00000065135.11	109548615	109618324	+	inside	48701	19164	Overlapping
73	chr1	109597316	109599160	1845	*	peak_41618	ENSG00000225113.1	109596225	109597781	+	overlapEnd	1091	465	Overlapping
74	chr1	109597316	109599160	1845	*	peak_41618	ENSG00000284443.1	109598893	109598967	+	includeFeature	-1577	193	Overlapping
75	chr1	110420179	110422471	2293	*	peak_41975	ENSG00000224699.9	110347116	110443817	+	inside	73063	21346	Overlapping
76	chr1	111156391	111156776	386	*	peak_42255	ENSG00000134255.14	111139627	111185104	+	inside	16764	16764	Overlapping
77	chr1	111985853	111993336	7484	*	peak_42569	ENSG00000171385.9	111770662	111989155	-	overlapStart	3302	3302	Overlapping
78	chr1	111985853	111993336	7484	*	peak_42569	ENSG00000231437.3	111989770	111998842	+	overlapStart	-3917	3566	Overlapping
79	chr1	112650206	112650823	618	*	peak_42838	ENSG00000116489.13	112619805	112671616	+	inside	30401	20793	Overlapping
80	chr1	113302479	113303885	1407	*	peak_43144	NA	NA	NA	NA	NA	NA	NA	NA
81	chr1	117013419	117016043	2625	*	peak_44559	ENSG00000134256.12	117001750	117036476	+	inside	11669	11669	Overlapping
82	chr1	117067919	117068349	431	*	peak_44587	ENSG00000116830.12	117060326	117107453	+	inside	7593	7593	Overlapping
83	chr1	117085847	117086843	997	*	peak_44598	ENSG00000116830.12	117060326	117107453	+	inside	25521	20610	Overlapping
84	chr1	121384604	121385273	670	*	peak_45897	ENSG00000171943.11	121184810	121392822	+	inside	199794	7549	Overlapping
85	chr1	121384604	121385273	670	*	peak_45897	ENSG00000230806.1	121360156	121398806	-	inside	14202	13533	Overlapping
86	chr1	150547316	150554933	7618	*	peak_47256	ENSG00000143382.14	150549369	150560937	+	overlapStart	-2053	2053	Overlapping
87	chr1	150547316	150554933	7618	*	peak_47256	ENSG00000237781.3	150548562	150557724	-	overlapEnd	10408	1246	Overlapping
88	chr1	150547316	150554933	7618	*	peak_47256	ENSG00000264553.1	150551929	150552014	+	includeFeature	-4613	2919	Overlapping
89	chr1	150827259	150828018	760	*	peak_47384	ENSG00000143437.21	150809713	150876708	-	inside	49449	17546	Overlapping
90	chr1	151698260	151698853	594	*	peak_47765	ENSG00000143376.14	151612006	151699091	+	inside	86254	238	Overlapping
91	chr1	154458118	154472113	13996	*	peak_48621	ENSG00000160712.13	154405193	154469450	+	overlapEnd	52925	2663	Overlapping
92	chr1	154458118	154472113	13996	*	peak_48621	ENSG00000169291.10	154469772	154502412	-	overlapEnd	44294	2341	Overlapping
93	chr1	159750205	159758360	8156	*	peak_50698	ENSG00000235226.1	159759170	159759589	+	upstream	-8965	810	Overlapping
94	chr1	159895150	159897793	2644	*	peak_50768	ENSG00000213085.10	159872364	159900165	-	inside	5015	2372	Overlapping
95	chr1	169028914	169029711	798	*	peak_54171	ENSG00000203601.3	168903905	169087005	-	inside	58091	57294	Overlapping
96	chr1	169028914	169029711	798	*	peak_54171	ENSG00000285622.1	168695874	169103276	-	inside	74362	73565	Overlapping
97	chr1	169856607	169856962	356	*	peak_54511	ENSG00000000457.14	169849631	169894267	-	inside	37660	6976	Overlapping
98	chr1	174764400	174764833	434	*	peak_56578	ENSG00000152061.23	174159410	174995308	+	inside	604990	230475	Overlapping
99	chr1	174980257	174981253	997	*	peak_56689	ENSG00000152061.23	174159410	174995308	+	inside	820847	14055	Overlapping
100	chr1	176022070	176023222	1153	*	peak_57110	ENSG00000143207.21	175944831	176207286	-	inside	185216	77239	Overlapping
101	chr1	177273013	177276012	3000	*	peak_57627	ENSG00000198797.7	177170958	177282422	+	inside	102055	6410	Overlapping
102	chr1	178027880	178039211	11332	*	peak_57902	ENSG00000242193.11	178006136	178037950	-	overlapStart	10070	1261	Overlapping
103	chr1	178027880	178039211	11332	*	peak_57902	ENSG00000254154.8	177928788	178038007	-	overlapStart	10127	1204	Overlapping
104	chr1	178470132	178472798	2667	*	peak_58131	ENSG00000075391.16	178094141	178484147	+	inside	375991	11349	Overlapping
105	chr1	178808896	178809684	789	*	peak_58271	ENSG00000116191.17	178725147	178921841	+	inside	83749	83749	Overlapping
106	chr1	179074070	179074714	645	*	peak_58408	ENSG00000116199.12	179025804	179076567	+	inside	48266	1853	Overlapping
107	chr1	180424536	180425825	1290	*	peak_59020	ENSG00000230124.8	180269653	180502954	-	inside	78418	77129	Overlapping
108	chr1	180472130	180472520	391	*	peak_59041	ENSG00000230124.8	180269653	180502954	-	inside	30824	30434	Overlapping
109	chr1	180493616	180494073	458	*	peak_59058	ENSG00000230124.8	180269653	180502954	-	inside	9338	8881	Overlapping
110	chr1	180785623	180787235	1613	*	peak_59214	ENSG00000143324.13	180632004	180890251	+	inside	153619	103016	Overlapping
111	chr1	180975194	180979470	4277	*	peak_59314	ENSG00000135823.14	180972712	181023121	-	inside	47927	2482	Overlapping
112	chr1	180975194	180979470	4277	*	peak_59314	ENSG00000243155.1	180944042	180976482	-	overlapStart	1288	1288	Overlapping
113	chr1	182254917	182261004	6088	*	peak_59730	ENSG00000228918.4	182096338	182314061	-	inside	59144	53057	Overlapping
114	chr1	182760918	182762553	1636	*	peak_59929	NA	NA	NA	NA	NA	NA	NA	NA
115	chr1	183488788	183490566	1779	*	peak_60194	ENSG00000116698.21	183472216	183598246	+	inside	16572	16572	Overlapping
116	chr1	186346525	186347141	617	*	peak_61365	ENSG00000047410.14	186311652	186375693	-	inside	29168	28552	Overlapping
117	chr1	187013439	187014396	958	*	peak_61656	NA	NA	NA	NA	NA	NA	NA	NA
118	chr1	191167416	191167715	300	*	peak_62528	NA	NA	NA	NA	NA	NA	NA	NA
119	chr1	191204611	191205443	833	*	peak_62538	NA	NA	NA	NA	NA	NA	NA	NA
120	chr1	191901356	191902291	936	*	peak_62687	ENSG00000228215.3	191823432	192011260	+	inside	77924	77924	Overlapping
121	chr1	193075674	193076006	333	*	peak_63102	ENSG00000116747.12	193059422	193091777	+	inside	16252	15771	Overlapping
122	chr1	194133636	194134283	648	*	peak_63582	ENSG00000227240.2	193473224	194198708	+	inside	660412	64425	Overlapping
123	chr1	195472067	195472610	544	*	peak_63869	NA	NA	NA	NA	NA	NA	NA	NA
124	chr1	197092399	197092850	452	*	peak_64503	ENSG00000066279.18	197084127	197146694	-	inside	54295	8272	Overlapping
125	chr1	197096169	197097844	1676	*	peak_64507	ENSG00000066279.18	197084127	197146694	-	inside	50525	12042	Overlapping
126	chr1	197139934	197141062	1129	*	peak_64540	ENSG00000066279.18	197084127	197146694	-	inside	6760	5632	Overlapping
127	chr1	197139934	197141062	1129	*	peak_64540	ENSG00000235748.1	197138748	197139307	-	upstream	-627	627	Overlapping
128	chr1	197141451	197142858	1408	*	peak_64541	ENSG00000066279.18	197084127	197146694	-	inside	5243	3836	Overlapping
129	chr1	197267537	197270033	2497	*	peak_64598	ENSG00000134376.16	197268204	197478455	+	overlapStart	-667	667	Overlapping
130	chr1	201168715	201174258	5544	*	peak_66235	ENSG00000116857.17	201134772	201171574	-	overlapStart	2859	2684	Overlapping
131	chr1	202329393	202330737	1345	*	peak_66569	ENSG00000077152.11	202331657	202341980	-	downstream	12587	920	Overlapping
132	chr1	207134724	207135409	686	*	peak_68410	ENSG00000123838.11	207104233	207144972	+	inside	30491	9563	Overlapping
133	chr1	207955298	207966930	11633	*	peak_68677	ENSG00000284237.1	207959292	207969329	+	overlapStart	-3994	2399	Overlapping
134	chr1	211671569	211671976	408	*	peak_70114	ENSG00000117650.13	211658657	211675630	-	inside	4061	3654	Overlapping
135	chr1	212084641	212085108	468	*	peak_70345	ENSG00000143476.18	212035553	212107400	+	inside	49088	22292	Overlapping
136	chr1	212240323	212245072	4750	*	peak_70422	NA	NA	NA	NA	NA	NA	NA	NA
137	chr1	212246447	212248682	2236	*	peak_70425	NA	NA	NA	NA	NA	NA	NA	NA
138	chr1	214625794	214626900	1107	*	peak_71414	ENSG00000117724.13	214603195	214664571	+	inside	22599	22599	Overlapping
139	chr1	214634445	214639185	4741	*	peak_71424	ENSG00000117724.13	214603195	214664571	+	inside	31250	25386	Overlapping
140	chr1	219246332	219246589	258	*	peak_73145	NA	NA	NA	NA	NA	NA	NA	NA
141	chr1	220746542	220753001	6460	*	peak_73912	ENSG00000117791.16	220748225	220784815	+	overlapStart	-1683	1683	Overlapping
142	chr1	220783670	220794380	10711	*	peak_73936	ENSG00000117791.16	220748225	220784815	+	overlapEnd	35445	1145	Overlapping
143	chr1	220783670	220794380	10711	*	peak_73936	ENSG00000186205.13	220786913	220819659	+	overlapStart	-3243	3243	Overlapping
144	chr1	220783670	220794380	10711	*	peak_73936	ENSG00000286231.1	220786990	220884503	+	overlapStart	-3320	3320	Overlapping
145	chr1	220871519	220889117	17599	*	peak_73959	ENSG00000136630.13	220879431	220885059	+	includeFeature	-7912	4058	Overlapping
146	chr1	220871519	220889117	17599	*	peak_73959	ENSG00000257551.1	220832763	220880140	-	overlapStart	8621	8621	Overlapping
147	chr1	220871519	220889117	17599	*	peak_73959	ENSG00000286231.1	220786990	220884503	+	overlapEnd	84529	4614	Overlapping
148	chr1	225379886	225380342	457	*	peak_75695	ENSG00000185842.15	224896262	225399292	+	inside	483624	18950	Overlapping
149	chr1	226869370	226877235	7866	*	peak_76220	ENSG00000143801.17	226870184	226896105	+	overlapStart	-814	814	Overlapping
150	chr1	227308003	227321756	13754	*	peak_76469	ENSG00000143776.18	226989865	227318474	-	overlapStart	10471	3282	Overlapping
151	chr1	227427380	227433783	6404	*	peak_76511	ENSG00000224834.1	227434064	227434346	+	upstream	-6684	281	Overlapping
152	chr1	227427380	227433783	6404	*	peak_76511	ENSG00000234277.3	227393554	227431035	+	overlapEnd	33826	2748	Overlapping
153	chr1	227427380	227433783	6404	*	peak_76511	ENSG00000242757.1	227430526	227430976	+	includeFeature	-3146	2807	Overlapping
154	chr1	227438897	227443151	4255	*	peak_76513	NA	NA	NA	NA	NA	NA	NA	NA
155	chr1	227541298	227543869	2572	*	peak_76537	NA	NA	NA	NA	NA	NA	NA	NA
156	chr1	228734003	228743338	9336	*	peak_76930	ENSG00000116574.6	228735479	228746664	+	overlapStart	-1476	1476	Overlapping
157	chr1	229069295	229072058	2764	*	peak_77090	NA	NA	NA	NA	NA	NA	NA	NA
158	chr1	230183746	230195711	11966	*	peak_77556	ENSG00000143641.10	230057990	230282122	+	inside	125756	86411	Overlapping
159	chr1	231625604	231631647	6044	*	peak_78175	ENSG00000162946.22	231626815	232041272	+	overlapStart	-1211	1211	Overlapping
160	chr1	231625604	231631647	6044	*	peak_78175	ENSG00000270106.6	231528653	231819244	+	inside	96951	96951	Overlapping
161	chr1	233027288	233027916	629	*	peak_78879	ENSG00000135749.19	232983435	233295725	-	inside	268437	43853	Overlapping
162	chr1	233215348	233215621	274	*	peak_78998	ENSG00000135749.19	232983435	233295725	-	inside	80377	80104	Overlapping
163	chr1	234428029	234428261	233	*	peak_79464	ENSG00000059588.10	234391313	234479179	-	inside	51150	36716	Overlapping
164	chr1	234683068	234685875	2808	*	peak_79551	ENSG00000228044.3	234646289	234683176	+	overlapEnd	36779	108	Overlapping
165	chr1	234683068	234685875	2808	*	peak_79551	ENSG00000230628.1	234669523	234696153	-	inside	13085	10278	Overlapping
166	chr1	237975395	237977157	1763	*	peak_81174	NA	NA	NA	NA	NA	NA	NA	NA
167	chr1	238194338	238194770	433	*	peak_81217	NA	NA	NA	NA	NA	NA	NA	NA
168	chr1	238646237	238646446	210	*	peak_81341	NA	NA	NA	NA	NA	NA	NA	NA
169	chr1	245749254	245756148	6895	*	peak_84238	ENSG00000185420.19	245749342	246507312	-	overlapEnd	758058	88	Overlapping
170	chr1	247445194	247446704	1511	*	peak_85037	ENSG00000162711.17	247416156	247449108	+	inside	29038	2404	Overlapping
171	chr10	1361791	1362036	246	*	peak_85962	ENSG00000185736.16	1177313	1737525	-	inside	375734	184478	Overlapping
172	chr10	1361791	1362036	246	*	peak_85962	ENSG00000233052.1	1361001	1361637	-	upstream	-154	154	Overlapping
173	chr10	1522221	1523451	1231	*	peak_86024	ENSG00000185736.16	1177313	1737525	-	inside	215304	214074	Overlapping
174	chr10	2630953	2632791	1839	*	peak_86367	NA	NA	NA	NA	NA	NA	NA	NA
175	chr10	3371502	3373335	1834	*	peak_86683	NA	NA	NA	NA	NA	NA	NA	NA
176	chr10	5438742	5442211	3470	*	peak_87579	ENSG00000173848.19	5412557	5459056	+	inside	26185	16845	Overlapping
177	chr10	5739673	5740149	477	*	peak_87676	ENSG00000108021.20	5684838	5763740	+	inside	54835	23591	Overlapping
178	chr10	5739673	5740149	477	*	peak_87676	ENSG00000226647.2	5712174	5744067	-	inside	4394	3918	Overlapping
179	chr10	5740153	5743078	2926	*	peak_87677	ENSG00000108021.20	5684838	5763740	+	inside	55315	20662	Overlapping
180	chr10	5740153	5743078	2926	*	peak_87677	ENSG00000226647.2	5712174	5744067	-	inside	3914	989	Overlapping
181	chr10	6843402	6843768	367	*	peak_88097	ENSG00000238266.2	6779549	6879450	+	inside	63853	35682	Overlapping
182	chr10	6843402	6843768	367	*	peak_88097	ENSG00000285845.1	6779608	6877888	+	inside	63794	34120	Overlapping
183	chr10	6843402	6843768	367	*	peak_88097	ENSG00000287277.1	6824275	7118469	-	inside	275067	19127	Overlapping
184	chr10	7513253	7514337	1085	*	peak_88402	NA	NA	NA	NA	NA	NA	NA	NA
185	chr10	8480822	8481714	893	*	peak_88792	NA	NA	NA	NA	NA	NA	NA	NA
186	chr10	13167827	13168781	955	*	peak_90620	ENSG00000065328.16	13161554	13211104	+	inside	6273	6273	Overlapping
187	chr10	13525300	13530274	4975	*	peak_90792	ENSG00000165626.17	13438484	13528974	-	overlapStart	3674	1300	Overlapping
188	chr10	13525300	13530274	4975	*	peak_90792	ENSG00000227175.1	13528516	13530262	+	includeFeature	-3216	12	Overlapping
189	chr10	14184434	14187046	2613	*	peak_91093	ENSG00000151474.23	13643706	14462142	-	inside	277708	275096	Overlapping
190	chr10	14884920	14885262	343	*	peak_91432	ENSG00000152455.15	14878820	14904315	+	inside	6100	6100	Overlapping
191	chr10	16651857	16652267	411	*	peak_92052	ENSG00000148484.18	16590611	16817463	-	inside	165606	61246	Overlapping
192	chr10	18676790	18677346	557	*	peak_92962	ENSG00000165997.5	18659431	18681639	+	inside	17359	4293	Overlapping
193	chr10	19415761	19416782	1022	*	peak_93126	ENSG00000204740.11	19048801	19790401	+	inside	366960	366960	Overlapping
194	chr10	21714398	21716573	2176	*	peak_94235	ENSG00000078403.17	21524646	21743630	+	inside	189752	27057	Overlapping
195	chr10	21725896	21728957	3062	*	peak_94240	ENSG00000078403.17	21524646	21743630	+	inside	201250	14673	Overlapping
196	chr10	22321924	22327422	5499	*	peak_94428	ENSG00000168283.14	22321099	22331484	+	inside	825	825	Overlapping
197	chr10	22321924	22327422	5499	*	peak_94428	ENSG00000269897.5	22316388	22329542	+	inside	5536	2120	Overlapping
198	chr10	22337863	22341958	4096	*	peak_94435	ENSG00000272366.1	22340377	22340615	-	includeFeature	2752	1343	Overlapping
199	chr10	26111535	26112762	1228	*	peak_95609	ENSG00000095777.17	25934229	26212532	+	inside	177306	99770	Overlapping
200	chr10	27029551	27029787	237	*	peak_95961	ENSG00000107890.16	26991914	27100498	-	inside	70947	37637	Overlapping
201	chr10	27068145	27068702	558	*	peak_95990	ENSG00000107890.16	26991914	27100498	-	inside	32353	31796	Overlapping
202	chr10	29992411	30003768	11358	*	peak_97116	NA	NA	NA	NA	NA	NA	NA	NA
203	chr10	30044821	30060995	16175	*	peak_97131	ENSG00000165757.9	30012803	30115494	-	inside	70673	32018	Overlapping
204	chr10	33091440	33102474	11035	*	peak_98277	ENSG00000233387.1	33096257	33116672	-	overlapEnd	25232	4817	Overlapping
205	chr10	35632406	35645107	12702	*	peak_99385	ENSG00000177283.7	35638249	35642278	-	includeFeature	9872	2829	Overlapping
206	chr10	35632406	35645107	12702	*	peak_99385	ENSG00000284265.1	35641172	35641252	-	includeFeature	8846	3855	Overlapping
207	chr10	35632406	35645107	12702	*	peak_99385	ENSG00000287528.1	35641097	35647826	+	overlapStart	-8691	2719	Overlapping
208	chr10	36181205	36183412	2208	*	peak_99615	NA	NA	NA	NA	NA	NA	NA	NA
209	chr10	38032101	38033897	1797	*	peak_100118	ENSG00000189180.15	38010650	38065088	+	inside	21451	21451	Overlapping
210	chr10	47410598	47411090	493	*	peak_101895	NA	NA	NA	NA	NA	NA	NA	NA
211	chr10	58592439	58593542	1104	*	peak_105428	ENSG00000122870.11	58513140	58831437	+	inside	79299	79299	Overlapping
212	chr10	69444363	69489171	44809	*	peak_109493	ENSG00000099282.10	69451465	69507666	+	overlapStart	-7102	7102	Overlapping
213	chr10	70401855	70407301	5447	*	peak_109850	ENSG00000148730.7	70404145	70428618	+	overlapStart	-2290	2290	Overlapping
214	chr10	73814288	73822365	8078	*	peak_111303	ENSG00000148660.20	73812501	73874591	-	inside	60303	1787	Overlapping
215	chr10	73814288	73822365	8078	*	peak_111303	ENSG00000224195.1	73813518	73814737	+	overlapEnd	770	449	Overlapping
216	chr10	76084662	76088509	3848	*	peak_112300	ENSG00000148655.15	75431624	76560168	+	inside	653038	471659	Overlapping
217	chr10	79903804	79907984	4181	*	peak_113636	ENSG00000283101.1	79906605	79907856	+	includeFeature	-2801	128	Overlapping
218	chr10	79903804	79907984	4181	*	peak_113636	ENSG00000283913.1	79904898	79951029	+	overlapStart	-1094	1094	Overlapping
219	chr10	82265906	82268528	2623	*	peak_114188	ENSG00000185737.13	81875194	82987179	+	inside	390712	390712	Overlapping
220	chr10	87977356	87978584	1229	*	peak_116059	NA	NA	NA	NA	NA	NA	NA	NA
221	chr10	87978819	87980179	1361	*	peak_116060	NA	NA	NA	NA	NA	NA	NA	NA
222	chr10	88291497	88293002	1506	*	peak_116188	ENSG00000184719.12	88273864	88584530	-	inside	293033	17633	Overlapping
223	chr10	89370629	89376169	5541	*	peak_116608	ENSG00000107798.18	89213569	89414557	-	inside	43928	38388	Overlapping
224	chr10	89704873	89705071	199	*	peak_116763	ENSG00000138182.14	89701610	89774939	+	inside	3263	3263	Overlapping
225	chr10	89710840	89711490	651	*	peak_116768	ENSG00000138182.14	89701610	89774939	+	inside	9230	9230	Overlapping
226	chr10	89755933	89756765	833	*	peak_116799	ENSG00000138182.14	89701610	89774939	+	inside	54323	18174	Overlapping
227	chr10	89784110	89785405	1296	*	peak_116815	NA	NA	NA	NA	NA	NA	NA	NA
228	chr10	90784598	90785239	642	*	peak_117189	ENSG00000148680.16	90740823	90858039	-	inside	73441	43775	Overlapping
229	chr10	91856159	91856953	795	*	peak_117620	ENSG00000107854.6	91798426	91865475	+	inside	57733	8522	Overlapping
230	chr10	92008944	92009430	487	*	peak_117712	ENSG00000095564.14	91923770	92030325	+	inside	85174	20895	Overlapping
231	chr10	92602996	92605368	2373	*	peak_118008	ENSG00000138160.6	92593130	92655395	+	inside	9866	9866	Overlapping
